"","Source","Target","Score"
"497","Ctnnb1","Jun",2.75139945018009
"498","Jag1","Notch1",2.75129527509034
"499","Actb","Brd2",2.7476864724415
"500","Map2k7","Strn",2.74717212410769
"501","Polr2h","Rprd1b",2.74662579784354
"502","Polr2h","Rprd2",2.74662579784354
"503","Irf4","Peg10",2.7442586037339
"504","Polr2h","Med4",2.74368707533199
"505","Polr2h","Med28",2.74245093706122
"506","Actb","Pabpc4",2.74222864235549
"507","Casp8","Ripk3",2.74174143806408
"508","Sos1","Rapgef5",2.7412611825157
"509","Calm1","Nedd4",2.74077507305083
"510","Calm3","Nedd4",2.74077507305083
"511","Calm2","Nedd4",2.74077507305083
"512","Map2k3","Rps6ka4",2.73800349125599
"513","Marcksl1","Map2k3",2.73800349125599
"514","Ctnnb1","Osbp",2.73739070819761
"515","Actb","Coro1c",2.73571343130789
"516","Polr2h","Med27",2.73566361502844
"517","Oas3","Xaf1",2.73310986011188
"518","Atg12","Tecpr1",2.73227848300621
"519","Polr1d","Polr2a",2.72802007518249
"520","Mapk4","Sfxn2",2.72775922630444
"521","Polr2h","Med31",2.72653485720116
"522","Calm3","Myo1e",2.72516501139125
"523","Calm1","Myo1e",2.72516501139125
"524","Calm2","Myo1e",2.72516501139125
"525","Polr1d","Rpap3",2.72213331005628
"526","Myl2","Cdc42bpa",2.72103208122303
"527","Polr2h","Med6",2.71979446096611
"528","Rap1a","Apbb1ip",2.71931775735925
"529","Lcn2","Serpina3n",2.71928055691183
"530","Nfatc2","Tnpo1",2.71907875534089
"531","Cd9","Igsf8",2.71742232060751
"532","Map3k1","Mapk3",2.71648813888623
"533","Nfkb1","Pdcd6ip",2.71450575733684
"534","Sos1","Rapgef3",2.71087209423058
"535","Txn1","Nop10",2.71063855289208
"536","Hsp90ab1","Nphp1",2.71015351024607
"537","Vdac2","Ldb3",2.7088104907109
"538","Actb","Brd3",2.70811210689635
"539","Ifngr1","Ifngr2",2.70794025407235
"540","Calm2","Dennd4b",2.70215689173347
"541","Calm1","Dennd4b",2.70215689173347
"542","Calm3","Dennd4b",2.70215689173347
"543","Txn1","Slirp",2.70162146563939
"544","Actb","Tpi1",2.69969430571336
"545","Myl2","Ppp1r12c",2.69843098894717
"546","Rnasel","Abce1",2.69842275836459
"547","Cdc42","Grtp1",2.69742097763083
"548","Prkce","Arhgap12",2.69658148157851
"549","Hsp90ab1","Pkm",2.69624709520849
"550","Polr1d","Polr2g",2.69614082403905
"551","Plcg1","Syk",2.69439853879862
"552","Zbp1","Iigp1",2.6937886726862
"553","Actb","Rere",2.6903686120088
"554","Irf7","Adar",2.68709934851267
"555","Txn1","Uqcr11",2.68633231142394
"556","Nfatc1","Ubc",2.685915820133
"557","Pxn","Vdac2",2.68551648929065
"558","Gnb4","Gng11",2.68084435213814
"559","Tollip","Abcb6",2.68005517559823
"560","Zbp1","Uba7",2.67842595793763
"561","Rapgef3","Arhgap26",2.67685872233915
"562","Nck1","Sorbs3",2.67594386243195
"563","Pik3r1","Ep300",2.67588199187571
"564","Actr3b","Arpc5",2.675869073478
"565","Ctsk","Thbs2",2.6745121246438
"566","Atg5","Tecpr1",2.67396518420514
"567","Hspa8","Nphp1",2.67290526152283
"568","Actb","Pkm",2.67132684989656
"569","Dock1","Slc7a6",2.67106938722418
"570","Ctsk","Sparc",2.66966639477073
"571","Ptpn11","Ptpn21",2.66755866347785
"572","Pxn","Arhgap10",2.66583604077823
"573","Arhgef1","Net1",2.66467011632972
"574","Cd38","Fcgr4",2.66267158494361
"575","Irf4","Carm1",2.66208867543287
"576","Cdc42","Spire1",2.65682125566059
"577","Atg12","Atg16l2",2.65667948431383
"578","Il15","Il2rg",2.65425877501934
"579","Limk2","Cdc42bpa",2.6541447455761
"580","Rapgef3","Pdlim7",2.65216641786424
"581","Jun","Maz",2.65204359564791
"582","Polr1d","Znrd1",2.65164577683117
"583","Vdac2","Pdp1",2.64931643156524
"584","Actb","Cfdp1",2.64606178529493
"585","Actb","Actr6",2.6440830421227
"586","Pxn","Slc7a6",2.64194107164258
"587","Ikbkb","Tnik",2.64070280729061
"588","Stat2","Irf7",2.63818289298956
"589","Gnas","Slc7a6",2.63720758308546
"590","Irf9","Irgm2",2.63672759741667
"591","Pxn","Arhgap26",2.63539387890978
"592","Tap1","Zbp1",2.635083405464
"593","C1qc","Lrp1",2.63476168799798
"594","Irak1","Irak3",2.63294303270641
"595","Hspa8","Pmpcb",2.63193951414041
"596","Tap1","Irf7",2.62949989639583
"597","Tkfc","Akr1a1",2.62839750932721
"598","Casp8","Pycard",2.62795537269221
"599","Itga5","Itgb1",2.62793963019976
"600","Tfrc","Sppl2a",2.62754596547279
"601","Bcl2","Pycard",2.62730032763034
"602","Actb","Nedd4l",2.62709885907884
"603","Rasgrp2","Rapgef5",2.62641252242793
"604","Stat2","Uba7",2.62436367295322
"605","Itga5","Tnc",2.62152316692345
"606","Hsp90ab1","Tpi1",2.61886311761418
"607","Tank","Golga3",2.61755247101678
"608","Myl2","Nexn",2.61724596029535
"609","Actb","H3f3a",2.6167189312946
"610","Cdc42","Gnb5",2.61660246110932
"611","Pin1","Nedd4l",2.61495277991753
"612","Hsp90aa1","Sept7",2.61130628862884
"613","Polr2h","Rpap3",2.61065441375808
