"","V1","V2","V3"
"573","Ndufb6","Ndufc1",4.46032016455979
"574","Ndufs1","Ndufs3",4.45937783573436
"575","Snx1","Vps35",4.45934929647547
"576","Rps17","Rps4x",4.45930643293786
"577","Atp5k","Ndufv3",4.45791563409534
"578","Rpl7","Rps21",4.45693873210234
"579","Rpl10a","Rps26",4.45522684675893
"580","Polr3a","Polr2b",4.45432390961332
"581","Actr2","Arpc5",4.45423469357047
"582","Rpl9","Rps3a1",4.45377290708257
"583","Polr1a","Polr2b",4.45277690552894
"584","Ndufc1","Ndufb2",4.45264357304973
"585","Rpl8","Rpl4",4.45185979404005
"586","Vps4b","Vta1",4.45160795196875
"587","Cox6b1","Ndufa1",4.45130650631791
"588","Ndufv1","Uqcrc2",4.45097758003453
"589","Rpl31","Rpl8",4.45090742635057
"590","Rpsa","Rps24",4.45054049745318
"591","Cyc1","Ndufa8",4.45046081745841
"592","Pcbd1","Pcbd2",4.45036374127926
"593","Polr1c","Polr2f",4.44995587972357
"594","Hspd1","Hspe1",4.44897591344375
