CM_D1_cov2_1	CM_D1_cov2_2	CM_D1_cov2_3	CM_D1_Mock_1	CM_D1_Mock_2	CM_D1_Mock_3	CM_D2_cov2_1	CM_D2_cov2_2	CM_D2_cov2_3	CM_D2_Mock_1	CM_D2_Mock_2	CM_D2_Mock_3
AC004223.4	0	1	2	0	2	0	0	0	0	0	0	1
AC004224.1	1	0	1	0	0	1	1	1	0	1	1	4
AC004231.1	0	0	0	0	0	1	0	0	1	0	0	0
AC004231.3	0	0	0	0	0	0	0	0	0	0	0	0
AC004232.2	0	0	0	0	0	0	0	0	0	0	0	0
AC004232.3	0	1	0	2	3	1	0	3	4	0	0	0
AC004233.1	1	3	0	4	6	2	1	3	0	5	1	4
AC004233.2	28	10	17	95	118	93	12	12	12	105	97	116
AC004233.3	23	16	27	130	129	97	4	4	4	85	76	97
AC004233.4	1	2	0	8	2	5	0	5	2	2	3	5
AC004241.1	1	3	4	32	29	18	0	3	0	9	10	12
AC004241.2	0	0	0	1	1	0	0	0	0	0	0	0
AC004241.3	1	3	3	12	10	16	0	0	0	2	6	3
AC004241.4	0	0	0	2	0	1	0	0	0	0	0	2
AC004241.5	1	4	6	0	0	0	4	2	4	3	1	2
AC004257.1	0	0	0	0	0	0	0	0	0	0	0	0
AC004263.1	0	0	0	0	0	0	0	0	0	0	0	0
AC004263.2	0	0	0	0	2	0	0	0	0	0	2	0
AC004264.1	0	0	0	1	6	8	5	14	8	0	1	1
AC004264.2	6	4	4	0	5	2	1	1	0	2	3	3
AC004381.1	0	1	0	0	0	1	0	0	0	0	0	1
AC004381.2	0	0	0	0	0	0	1	0	0	0	0	0
AC004383.1	0	1	0	0	1	0	0	0	0	0	0	0
AC004386.1	0	2	1	7	9	7	0	0	1	1	4	3
AC004408.2	1	4	2	9	5	5	6	4	2	6	4	3
AC004448.1	1	6	3	5	3	4	1	0	2	6	5	1
AC004448.2	0	0	0	0	0	0	0	2	0	0	0	0
AC004448.4	0	0	0	0	0	0	0	0	0	0	0	0
AC004449.1	0	0	0	1	2	0	0	1	2	1	0	0
AC004453.1	17	13	12	42	43	49	11	9	11	34	28	50
AC004453.2	4	5	2	0	1	5	0	5	3	1	1	7
AC004461.1	0	0	0	0	0	0	1	0	0	0	0	1
AC004461.2	4	2	3	5	4	11	0	0	0	1	5	2
AC004466.1	3	1	0	1	3	2	0	0	0	3	4	1
AC004466.2	0	0	0	1	0	1	0	2	1	1	1	0
AC004466.3	0	2	0	0	0	0	0	0	0	0	0	1
AC004467.1	1	1	0	0	0	0	1	0	2	0	0	0
