CM_D1_cov2_1	CM_D1_cov2_2	CM_D1_cov2_3	CM_D1_Mock_1	CM_D1_Mock_2	CM_D1_Mock_3	CM_D2_cov2_1	CM_D2_cov2_2	CM_D2_cov2_3	CM_D2_Mock_1	CM_D2_Mock_2	CM_D2_Mock_3
SCN1A	1	2	0	3	1	4	1	0	0	2	0	9
SCN1B	9	7	20	24	17	8	4	5	2	8	5	5
SCN2A	7	5	13	27	24	10	4	1	4	5	7	18
SCN2B	12	8	9	38	33	57	0	0	1	16	23	30
SCN3A	1	4	3	5	8	3	4	3	5	2	8	4
SCN3B	10	21	17	22	26	19	23	12	12	7	7	15
SCN4A	1	6	3	7	9	8	2	3	3	8	2	8
SCN4B	4	12	9	57	43	41	7	15	11	13	31	30
SCN5A	710	998	985	2370	2194	1983	170	313	268	1102	1144	1324
SCN7A	5	12	14	22	19	12	3	5	3	32	32	23
SCN8A	55	62	43	239	253	218	46	61	60	123	141	160
SCN9A	12	7	4	25	35	31	3	4	5	16	12	11
SCNM1	143	134	158	661	569	705	64	74	79	296	320	369
SCNN1A	7	1	4	8	8	1	2	3	4	2	1	2
SCNN1B	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	26	28	45	101	80	113	9	10	10	67	70	65
SCNN1G	0	0	0	2	0	0	6	3	4	0	0	0
SCO1	324	356	382	2089	1934	1968	137	156	182	905	940	996
SCO2	0	0	1	0	0	0	0	0	0	0	0	1
SCOC	340	391	402	1567	1656	1192	231	263	289	871	815	961
SCOC-AS1	5	6	11	62	32	74	2	5	5	28	24	32
SCOCP1	1	5	1	0	1	2	0	0	1	1	0	2
SCP2	522	673	610	3694	3557	3175	326	370	360	2238	2273	2475
SCPEP1	97	138	97	453	525	437	80	94	95	274	292	330
SCRG1	3	8	3	12	18	20	4	2	11	10	13	14
SCRIB	462	550	570	1288	1223	1393	254	342	379	758	716	702
SCRN1	841	1064	954	3917	3717	3531	923	977	988	2270	2316	2434
SCRN2	122	174	152	943	875	930	78	74	87	451	518	574
SCRN3	118	164	181	1009	826	736	48	61	52	464	406	530
SCRT1	0	0	0	0	0	0	0	0	1	0	0	0
SCRT2	1	0	0	0	0	0	0	0	0	0	0	0
SCT	3	9	6	11	13	25	4	5	10	7	6	5
SCTR	0	0	0	0	1	4	0	0	0	4	4	2
SCUBE1	26	21	12	87	94	72	7	18	8	44	52	70
SCUBE2	14	24	30	10	9	9	42	40	47	7	7	8
SCUBE3	1553	2085	2213	4759	5384	3511	345	520	390	3525	3645	4098
SCX	6	9	6	9	14	13	6	4	7	7	7	19
SCYL1	904	979	1055	2327	2331	2285	629	851	927	1197	1073	1275
SCYL2	644	829	820	1476	1438	1287	673	795	782	892	866	948
SCYL3	152	186	158	529	520	421	313	450	397	243	202	279
SDAD1	233	306	226	1114	1170	1028	71	82	70	564	588	630
SDAD1P1	1	9	11	47	38	66	35	38	35	59	73	65
SDAD1P2	0	1	0	1	0	0	0	0	0	0	0	0
SDC1	126	122	151	543	515	534	129	155	170	295	236	286
SDC2	525	626	586	2239	2071	2067	1079	1205	1328	1311	1247	1368
SDC3	763	910	883	3890	3976	3657	548	665	635	1750	1766	1852
SDC4	530	564	560	1137	1045	1054	738	795	718	473	587	604
SDC4P	0	0	0	0	0	0	0	0	0	0	0	0
SDCBP	700	897	771	4810	4529	4122	957	1283	1126	3079	2907	3424
SDCBP2	9	8	4	44	29	51	11	12	9	19	18	16
SDCBP2-AS1	5	17	20	120	93	93	7	6	4	33	51	62
SDCBPP1	0	0	0	1	1	0	0	0	0	1	0	0
SDCBPP2	0	0	0	1	1	0	0	0	1	2	1	4
SDCBPP3	0	0	0	1	4	0	0	0	0	3	4	1
SDCCAG3	181	244	221	639	531	624	141	168	166	340	348	452
SDCCAG3P1	0	0	0	0	0	0	0	0	0	0	0	0
SDCCAG3P2	0	0	0	1	0	0	0	0	0	0	0	0
SDCCAG8	132	163	143	618	594	548	72	55	76	370	337	436
SDE2	238	242	238	654	716	618	227	366	254	272	274	304
SDF2	178	208	234	1038	1007	1005	113	145	159	502	526	623
SDF2L1	47	53	46	249	249	313	19	13	22	128	113	150
SDF4	638	810	853	2498	2426	2665	625	767	817	1064	1078	1268
SDHA	648	831	864	4812	4963	4674	429	508	533	2212	2291	2587
SDHAF1	45	52	61	219	231	269	18	25	26	120	112	124
SDHAF2	40	63	48	364	334	308	28	27	14	151	138	142
SDHAF3	73	66	90	540	491	511	30	33	31	266	215	320
SDHAF4	39	62	48	323	270	252	15	25	24	194	203	213
SDHAP1	20	13	23	83	71	80	18	20	19	46	52	49
SDHAP3	19	42	36	88	128	90	11	21	7	54	81	75
SDHB	481	468	509	3248	2769	2834	279	314	331	1327	1313	1652
SDHC	336	377	369	1896	1743	1559	178	171	149	870	925	993
SDHCP2	0	3	0	4	0	0	0	0	0	0	0	0
SDHCP3	0	0	0	0	0	1	0	0	0	0	1	0
SDHCP4	0	0	0	0	0	1	0	0	0	0	0	0
SDHD	99	163	95	699	679	510	70	81	59	408	364	523
SDHDP1	0	0	0	0	0	0	0	0	0	0	0	0
SDHDP6	0	0	1	0	0	0	1	1	0	0	0	0
SDK1	217	297	244	1043	1231	977	119	146	127	478	473	488
SDK2	366	416	404	1492	1494	1486	215	277	239	773	813	813
SDR16C5	0	0	0	0	0	0	0	0	0	0	0	0
SDR39U1	200	202	224	1190	1136	1153	163	203	210	605	617	776
SDR42E1	0	1	0	0	0	0	0	0	0	1	2	0
SDR42E1P4	0	0	0	0	0	0	0	0	0	0	0	0
SDR42E1P5	0	0	0	0	0	0	0	0	0	0	0	0
SDR42E2	0	0	0	1	0	0	0	0	0	0	0	0
SDR9C7	2	0	3	4	2	7	3	5	7	2	4	8
SDS	0	0	0	0	0	0	0	0	0	0	0	0
SDSL	31	41	39	158	169	227	13	11	14	42	78	81
SEC11A	705	755	768	3665	3143	3395	378	466	450	1787	1865	2123
SEC11B	0	0	0	5	6	7	0	0	0	12	3	4
SEC11C	94	132	158	478	404	407	40	30	44	170	221	234
SEC13	482	480	501	2589	2395	2288	382	415	446	1283	1275	1431
SEC13P1	1	0	0	0	0	0	1	0	1	0	1	0
SEC14L1	650	823	767	1473	1316	1197	637	776	754	759	760	871
SEC14L1P1	9	8	10	23	27	30	2	0	4	4	4	14
SEC14L2	10	15	15	44	51	71	16	21	16	28	26	27
SEC14L3	0	0	0	0	0	0	0	0	0	0	0	0
SEC14L4	0	0	0	0	0	0	0	0	0	0	0	0
SEC14L5	3	1	1	21	18	5	1	2	2	11	7	11
SEC14L6	1	0	6	31	31	25	0	0	1	10	7	23
SEC16A	678	845	813	1684	1656	1404	729	910	807	819	812	810
SEC16B	0	1	2	0	0	2	0	0	0	0	0	0
SEC1P	0	0	0	0	2	0	5	7	10	1	0	1
SEC22A	46	63	42	184	153	134	22	21	27	75	107	101
SEC22B	111	119	104	593	585	554	69	65	70	296	296	288
SEC22C	181	214	202	913	858	777	90	71	73	359	400	439
SEC23A	791	1076	978	4713	4528	3895	996	1193	1020	2788	2753	2755
SEC23A-AS1	1	0	0	1	1	1	0	1	0	0	0	0
SEC23B	362	426	381	962	1004	854	215	186	210	540	547	624
SEC23IP	273	323	330	1760	1646	1400	230	273	254	918	973	1029
SEC24A	308	432	392	434	454	375	480	651	544	310	268	312
SEC24B	380	458	449	1272	1315	1011	372	472	493	816	871	942
SEC24B-AS1	0	5	6	38	36	30	2	3	2	18	24	25
SEC24C	394	505	430	2462	2527	2114	353	419	441	1422	1337	1539
SEC24D	262	288	240	761	708	651	356	405	338	429	415	471
SEC31A	1098	1316	1245	5715	5602	4722	1351	1526	1395	3220	3160	3579
SEC31B	42	51	77	223	216	238	39	81	60	195	202	271
SEC61A1	920	1166	1048	5380	5106	4732	663	686	734	2281	2311	2558
SEC61A2	122	137	161	891	873	731	93	125	126	459	481	536
SEC61B	285	295	367	1512	1377	1351	218	274	278	665	748	872
SEC61G	284	273	359	1217	1188	1218	278	291	264	775	831	1003
SEC62	542	680	660	2272	1933	1836	619	840	798	978	1090	1265
SEC63	400	624	536	1847	1727	1526	419	394	404	834	894	944
SEC63P1	2	0	0	0	1	3	2	0	0	2	0	1
SECISBP2	161	172	164	680	702	570	168	152	176	367	380	468
SECISBP2L	701	1176	949	1044	974	854	451	674	593	745	731	730
SECTM1	0	0	0	1	0	1	1	2	1	0	0	0
SEH1L	150	179	208	747	730	614	145	190	160	417	425	515
SEL1L	463	568	558	1764	1662	1329	330	382	354	923	929	1081
SEL1L2	0	0	0	0	0	1	0	0	0	0	0	0
SEL1L3	77	93	71	275	282	184	76	95	118	124	145	157
SELE	1	0	1	1	1	5	3	2	0	2	0	0
SELENBP1	116	119	144	585	683	552	64	45	53	330	340	433
SELENOF	293	344	341	1918	1713	1605	305	358	341	929	915	1119
SELENOH	160	180	164	817	664	1198	63	87	86	350	396	316
SELENOI	216	308	278	647	582	493	195	237	195	432	438	529
SELENOK	249	226	222	1290	1189	1126	156	198	181	551	536	608
SELENOM	120	89	95	416	297	454	53	110	133	151	138	144
SELENON	472	553	549	2751	2856	2416	335	389	424	1268	1225	1329
SELENOO	176	163	235	434	348	365	94	163	157	240	211	263
SELENOP	390	517	493	1925	1840	1636	561	543	564	1187	1091	1279
SELENOS	206	260	217	896	830	839	169	141	161	435	453	469
SELENOT	235	314	326	1591	1408	1247	144	157	207	743	725	843
SELENOV	2	0	3	9	3	3	4	5	7	1	1	1
SELENOW	2512	2703	2736	24655	21242	22094	799	887	962	10849	10948	13398
SELENOWP1	0	0	0	2	5	7	1	1	0	3	0	5
SELL	1	1	1	1	2	1	0	1	4	1	3	2
SELP	0	0	2	0	2	0	0	0	0	0	0	0
SELPLG	24	64	61	22	17	29	328	527	441	15	21	21
SEM1	261	317	310	1881	1646	1547	221	194	193	667	750	951
SEM1P1	0	0	1	2	0	1	0	0	0	0	0	0
SEMA3A	743	900	901	1346	1483	1083	278	437	307	843	798	904
SEMA3B	39	48	30	147	148	148	47	46	69	75	85	120
SEMA3B-AS1	0	0	0	5	3	2	1	0	1	4	2	6
SEMA3C	414	514	511	2030	2173	1460	586	685	628	1670	1566	1681
SEMA3D	18	17	23	37	21	32	9	18	7	24	26	27
SEMA3E	2	10	5	12	7	6	9	11	2	9	7	8
SEMA3F	37	45	56	138	136	125	61	46	57	56	79	86
SEMA3F-AS1	0	0	0	0	0	3	1	0	0	0	1	0
SEMA3G	18	37	32	124	125	160	46	73	77	83	99	97
SEMA4A	8	22	8	32	29	35	157	241	171	41	41	31
SEMA4B	152	245	219	797	825	801	101	105	143	368	353	407
SEMA4C	346	384	361	1189	1106	1188	304	364	398	545	569	597
SEMA4D	154	194	166	782	701	612	47	73	67	347	395	449
SEMA4F	44	62	42	342	374	359	48	38	54	137	168	158
SEMA4G	66	74	92	337	361	323	89	86	118	251	216	272
SEMA5A	695	797	784	3176	3153	2625	551	559	469	1256	1360	1362
SEMA5B	2	1	0	13	11	2	16	13	18	6	13	8
SEMA6A	95	144	132	611	665	530	76	126	132	288	298	374
SEMA6A-AS1	9	10	6	11	9	12	2	0	3	4	10	12
SEMA6A-AS2	1	0	0	0	3	5	1	3	0	1	0	0
SEMA6B	229	265	323	844	838	1041	147	250	248	426	446	480
SEMA6C	76	92	104	386	375	427	49	54	56	269	290	229
SEMA6D	494	681	599	1573	1654	1251	166	212	224	864	776	881
SEMA7A	27	22	22	48	52	54	36	38	25	13	18	21
SENCR	3	3	0	3	1	3	2	3	4	0	0	0
SENP1	389	524	431	1048	911	783	317	367	343	455	391	426
SENP2	273	312	309	1426	1271	1108	126	122	144	612	668	736
SENP3	115	162	141	537	535	536	70	100	93	208	236	306
SENP3-EIF4A1	1	6	4	1	0	0	20	44	27	3	0	0
SENP5	218	270	238	896	860	690	168	222	184	480	492	544
SENP6	648	821	778	1707	1559	1207	612	862	819	877	911	1135
SENP7	340	517	471	710	765	525	375	488	467	488	516	538
SENP8	55	54	70	306	291	247	14	10	12	148	178	201
SEPHS1	382	435	485	2106	2125	1792	268	243	273	797	800	944
SEPHS1P1	0	0	0	0	0	0	0	0	0	1	0	0
SEPHS1P4	1	1	2	3	1	4	2	0	1	0	2	1
SEPHS1P6	1	0	0	1	0	2	1	0	0	0	0	0
SEPHS2	318	372	409	1566	1509	1511	262	277	306	709	744	785
SEPHS2P1	0	0	0	0	0	1	0	0	0	0	0	0
SEPSECS	84	61	73	337	310	234	28	27	22	114	143	108
SEPT1	6	10	6	23	28	22	7	8	14	21	14	11
SEPT10	343	466	473	1884	1986	1514	315	324	319	1052	989	1106
SEPT10P1	0	3	0	2	1	4	0	1	0	3	7	0
SEPT11	687	830	713	3457	3564	2832	1486	1464	1421	1973	1916	2129
SEPT12	4	3	7	1	6	1	2	2	1	4	1	4
SEPT14	0	0	0	0	0	0	0	0	0	0	0	0
SEPT14P12	0	3	0	1	2	0	1	3	1	0	2	0
SEPT14P17	0	0	0	0	0	0	0	0	0	0	0	0
SEPT14P4	1	0	0	0	0	0	0	0	0	0	0	0
SEPT14P8	0	0	0	0	0	0	0	0	0	0	0	0
SEPT2	1748	2134	2046	12694	12850	10881	1540	1706	1632	6985	7061	8148
SEPT2P1	0	1	0	1	0	0	0	0	1	1	1	0
SEPT3	71	64	70	357	434	401	20	19	32	167	176	215
SEPT4	2	1	3	18	14	28	5	8	3	19	14	10
SEPT4-AS1	0	0	0	0	0	0	1	0	0	0	0	0
SEPT5	473	635	628	1948	1771	2032	143	167	166	1089	999	1194
SEPT6	318	389	328	2041	1905	1954	185	204	183	1260	1194	1485
SEPT7	1236	1404	1263	6413	6072	5616	1547	1932	1743	3423	3208	3746
SEPT7-AS1	12	12	9	89	86	76	5	0	3	54	54	70
SEPT7P2	77	74	60	240	233	187	15	16	8	108	135	155
SEPT7P3	0	1	0	0	3	1	1	3	5	0	0	0
SEPT7P6	0	2	0	1	0	1	4	3	0	3	1	4
SEPT7P7	2	9	3	5	9	4	2	2	1	10	6	11
SEPT7P8	1	0	0	1	1	1	0	0	1	2	3	1
SEPT7P9	4	2	2	19	17	15	1	0	0	8	9	6
SEPT8	541	671	724	2782	2830	2450	381	469	432	1451	1430	1560
SEPT9	2011	2420	2561	9088	9481	8542	1300	1778	1720	4678	4447	4876
SERAC1	103	128	111	340	293	253	53	60	60	184	138	215
SERBP1	1206	1443	1460	6243	6182	5881	746	948	973	3617	3330	3893
SERBP1P1	3	0	0	6	3	4	0	5	2	4	3	3
SERBP1P2	0	0	0	0	0	0	0	0	0	0	0	0
SERBP1P3	0	0	0	0	0	1	0	1	0	0	1	1
SERBP1P4	0	0	0	0	0	0	0	0	0	0	0	1
SERBP1P5	4	6	1	12	3	15	2	7	2	6	8	7
SERBP1P6	0	0	1	0	0	2	1	0	1	1	2	4
SERF1A	0	0	0	6	3	5	0	1	1	3	1	0
SERF1AP1	0	0	0	0	0	0	0	0	0	0	0	0
SERF1B	0	4	1	5	0	7	0	1	1	0	3	4
SERF2	1338	1339	1506	8910	7948	8838	838	907	1022	4187	4368	5093
SERGEF	79	66	80	351	253	285	38	34	52	182	147	194
SERHL	1	2	0	1	1	10	2	0	1	2	4	0
SERHL2	4	5	4	51	31	33	0	1	4	16	9	31
SERINC1	839	1029	971	4100	4273	3758	827	1084	985	2091	1959	2224
SERINC2	16	31	34	63	89	92	50	37	39	61	51	72
SERINC3	331	419	414	1902	1639	1422	362	425	429	904	973	1047
SERINC4	0	0	2	9	4	4	18	15	16	0	2	6
SERINC5	388	504	468	1859	2051	1738	191	214	198	1016	1101	1106
SERP1	242	287	251	808	818	765	251	263	249	586	500	594
SERP2	11	17	15	65	71	49	1	4	3	34	21	30
SERPINA1	4728	5891	7344	12339	14183	10889	15237	13244	14583	17653	15576	18903
SERPINA10	7	4	0	6	7	8	11	3	3	13	6	6
SERPINA11	0	1	3	7	2	5	17	6	5	15	7	7
SERPINA12	0	0	0	0	0	1	0	0	0	0	0	0
SERPINA13P	1	0	0	0	0	0	0	0	0	0	0	0
SERPINA2	0	0	0	0	0	5	0	1	0	0	0	0
SERPINA3	1	0	1	2	5	0	3	4	3	0	3	0
SERPINA4	13	10	10	28	17	39	57	49	78	66	51	67
SERPINA5	298	314	367	636	648	632	986	809	953	788	806	810
SERPINA6	34	62	93	139	124	121	116	98	97	244	223	215
SERPINA7	16	11	12	23	34	37	19	22	23	24	21	22
SERPINA9	0	0	0	0	0	0	0	0	0	0	0	0
SERPINB1	115	98	106	578	645	551	81	70	90	361	308	328
SERPINB10	0	0	0	0	0	0	0	0	0	0	0	0
SERPINB11	0	0	0	0	0	0	0	0	0	0	0	0
SERPINB2	1	0	0	4	1	1	1	1	1	0	1	1
SERPINB3	0	0	0	0	0	0	0	0	0	0	0	0
SERPINB4	0	0	0	0	0	0	0	0	0	0	0	0
SERPINB5	0	0	0	0	0	0	0	0	0	0	0	0
SERPINB6	430	535	477	2677	2454	2525	339	356	359	1427	1342	1692
SERPINB7	0	4	9	5	1	5	5	6	4	1	9	5
SERPINB8	26	34	14	109	102	103	50	41	46	27	23	29
SERPINB9	118	164	129	332	368	292	513	556	490	158	177	212
SERPINB9P1	1	2	0	13	2	7	5	0	1	0	0	1
SERPINC1	3	3	4	5	3	11	27	38	44	21	13	16
SERPIND1	8	13	12	35	18	25	94	94	122	93	86	89
SERPINE1	909	1024	1053	1352	967	1110	3184	3187	3053	283	307	311
SERPINE2	765	774	671	2136	1619	1500	2491	2445	2424	660	744	744
SERPINE3	0	0	0	0	0	0	0	2	0	1	0	1
SERPINF1	371	366	523	2119	2147	1983	634	648	720	1534	1584	1855
SERPINF2	155	148	223	270	339	266	715	720	843	587	509	603
SERPING1	130	141	103	410	363	358	367	332	311	236	228	293
SERPINH1	1550	1778	1726	8709	7966	8422	2494	2805	3014	4820	4588	5515
SERPINH1P1	0	0	1	1	0	2	2	2	5	0	0	0
SERPINI1	28	25	33	220	246	182	21	16	14	125	130	116
SERPINI2	8	1	3	0	1	0	1	4	1	0	0	1
SERTAD1	84	92	116	248	156	215	222	311	336	71	93	124
SERTAD2	725	945	947	744	717	595	1239	1789	1562	314	324	352
SERTAD3	431	438	468	1014	921	874	485	793	659	401	391	477
SERTAD4	4	13	3	23	16	11	22	29	23	2	0	6
SERTAD4-AS1	3	2	3	12	3	8	11	6	12	4	3	2
SERTM1	0	0	1	4	15	12	1	1	2	3	4	4
SESN1	331	441	389	1453	1317	1199	168	200	181	638	669	774
SESN2	725	703	760	1152	1002	1005	252	335	363	418	441	462
SESN3	357	392	349	1624	1641	1363	220	269	243	949	977	1108
SESTD1	254	320	318	914	947	702	209	238	221	357	360	452
SET	1185	1318	1369	5426	5297	4772	1017	1299	1238	2468	2501	3048
SETBP1	549	726	691	543	570	425	672	1165	913	274	265	272
SETD1A	392	516	557	626	682	605	502	810	724	255	278	303
SETD1B	469	593	564	603	561	546	258	492	340	195	247	222
SETD2	1476	1976	1922	1987	2044	1598	1750	2515	2188	899	899	1096
SETD3	717	881	745	2263	2201	1916	508	568	555	1309	1312	1339
SETD4	102	114	107	469	378	283	37	42	36	143	172	228
SETD5	1352	1717	1755	3014	3064	2660	1056	1356	1266	1676	1820	2075
SETD6	62	88	60	289	269	305	15	22	19	153	154	157
SETD7	557	752	628	1324	1300	1252	253	324	302	640	625	630
SETD8P1	1	1	1	0	0	0	1	0	0	0	1	0
SETD9	59	65	89	274	277	220	44	33	28	105	106	141
SETDB1	718	811	849	1487	1423	1342	394	413	474	718	730	919
SETDB2	90	126	141	381	324	326	101	103	113	260	241	319
SETMAR	126	147	113	582	523	489	36	44	29	251	261	268
SETP1	0	0	0	0	0	0	0	0	2	2	0	0
SETP10	0	0	0	0	0	0	0	0	0	0	0	0
SETP11	0	0	0	0	0	0	2	0	1	0	1	3
SETP12	0	0	0	0	2	1	0	0	1	0	0	1
SETP14	1	2	1	3	8	8	3	7	1	6	4	11
SETP15	0	0	0	2	0	0	0	0	0	0	0	0
SETP16	0	0	0	0	0	0	0	0	0	0	1	0
SETP17	0	0	1	0	1	1	1	1	2	1	0	1
SETP2	0	0	0	2	2	2	1	0	0	1	0	0
SETP20	0	0	0	0	3	4	0	0	0	2	0	0
SETP21	2	1	0	2	4	2	0	0	0	0	0	0
SETP22	0	0	0	1	1	0	0	1	1	0	0	1
SETP3	0	0	0	1	3	1	1	1	2	1	2	1
SETP4	0	0	0	0	0	0	0	0	0	0	0	0
SETP6	0	0	0	0	0	0	1	1	0	0	0	1
SETP7	0	2	0	0	1	0	0	0	0	0	1	0
SETP8	0	0	1	0	0	0	0	0	0	0	0	1
SETP9	0	0	0	0	0	0	0	0	0	0	0	0
SETSIP	0	2	0	1	0	0	2	1	2	1	1	0
SETX	1370	1858	1781	2407	2509	1896	573	757	653	1623	1640	1868
SEZ6	0	0	0	0	0	0	0	4	1	0	1	0
SEZ6L	0	1	0	10	6	1	1	0	2	0	0	0
SEZ6L2	74	83	60	267	222	235	136	192	166	134	142	166
SF1	1027	1330	1408	3923	4215	3374	1084	1493	1465	1956	2105	2241
SF3A1	482	618	589	2087	1907	1786	364	486	443	780	790	808
SF3A2	167	232	270	843	828	921	124	170	169	413	431	426
SF3A3	444	516	511	2264	2235	1973	228	241	275	867	944	1151
SF3A3P1	0	0	1	3	0	2	1	0	0	1	1	5
SF3B1	2634	3296	3160	11274	11179	9484	3999	4990	4836	6635	6574	7305
SF3B2	1140	1440	1345	4886	5189	4914	810	911	985	2099	2082	2571
SF3B3	1397	1745	1692	5366	5151	4534	637	852	821	2613	2652	3030
SF3B4	202	256	263	997	1114	927	210	266	293	468	437	507
SF3B5	427	470	467	3329	3077	3323	231	239	289	1416	1489	1859
SF3B6	524	690	671	2887	2718	2591	416	439	398	1319	1387	1654
SFI1	50	58	60	206	207	236	25	20	36	127	102	127
SFMBT1	88	122	114	228	190	165	129	152	169	77	74	109
SFMBT2	57	99	95	156	139	86	27	62	39	82	66	80
SFN	0	0	1	1	0	1	10	22	10	4	0	0
SFPQ	1452	1687	1744	7227	7533	6530	1544	1879	1964	2744	2941	3485
SFPQP1	0	0	0	0	0	0	1	2	1	1	0	1
SFR1	29	27	47	125	102	121	9	23	15	54	67	55
SFR1P1	0	0	0	2	0	3	0	0	0	0	0	1
SFR1P2	0	0	0	0	0	0	0	0	0	0	0	0
SFRP1	540	689	573	2864	3034	2400	277	426	361	1660	1683	1792
SFRP2	1	1	2	4	0	1	4	0	2	1	1	4
SFRP4	4	5	7	35	35	44	0	2	0	11	12	16
SFRP5	24	30	29	242	200	226	16	20	29	102	107	91
SFSWAP	585	827	798	1079	1116	924	357	449	486	480	505	608
SFT2D1	122	112	123	473	413	409	78	71	81	258	236	315
SFT2D2	161	199	206	836	825	691	110	109	95	317	374	410
SFT2D3	68	73	97	298	306	271	28	29	27	137	155	131
SFTA1P	1	0	1	7	3	2	1	5	0	1	1	2
SFTA2	1	0	0	1	0	0	0	2	0	0	0	0
SFTPA2	0	0	0	0	2	0	0	0	0	0	0	1
SFTPB	0	0	0	0	0	0	0	0	0	0	0	0
SFTPC	0	0	0	0	0	0	0	0	0	0	0	0
SFTPD	2	4	1	8	10	8	1	2	1	2	4	3
SFTPD-AS1	0	0	2	3	12	6	0	0	0	1	3	0
SFXN1	409	508	467	1996	1953	1747	312	384	370	1107	1151	1209
SFXN2	74	103	98	420	453	352	21	28	25	198	173	224
SFXN3	56	83	69	269	240	232	91	91	84	150	146	146
SFXN4	277	352	312	1306	1176	1030	69	73	87	579	616	700
SFXN5	48	77	80	403	354	322	46	42	54	217	217	234
SGCA	42	33	44	253	262	253	13	8	12	154	154	191
SGCB	308	412	367	1740	1701	1442	252	322	310	958	931	1030
SGCD	2	2	0	11	10	13	2	2	1	9	16	15
SGCE	137	187	162	707	722	580	139	148	160	416	373	517
SGCG	2	0	0	1	0	4	0	1	2	1	3	2
SGCZ	0	1	0	0	0	0	0	0	0	0	0	0
SGF29	82	79	94	267	252	229	38	46	42	135	130	143
SGIP1	36	79	69	117	104	69	32	51	47	129	141	130
SGK1	93	92	102	264	216	199	899	763	765	138	122	166
SGK2	2	1	5	7	4	6	17	19	15	5	7	7
SGK3	3	13	11	27	22	30	3	3	11	6	12	14
SGK494	36	28	26	64	62	42	19	19	35	57	62	91
SGMS1	445	551	610	1217	1227	1065	196	241	244	605	616	681
SGMS1-AS1	7	13	18	110	117	84	5	6	5	46	54	84
SGMS2	22	31	21	69	49	45	56	75	66	7	19	17
SGO1	80	66	48	345	355	270	39	35	50	120	121	119
SGO1-AS1	0	5	6	5	0	3	7	10	11	1	1	3
SGO2	116	160	131	852	1053	530	79	90	123	349	334	373
SGPL1	587	629	691	1892	1786	1672	387	480	441	736	818	963
SGPP1	35	39	47	112	115	119	24	41	46	71	84	60
SGPP2	103	144	166	678	650	665	43	60	49	463	454	451
SGSH	120	168	161	518	497	528	43	49	41	229	293	288
SGSM1	5	4	1	10	10	12	0	1	0	3	2	3
SGSM2	302	395	399	1605	1616	1630	213	223	223	916	942	1100
SGSM3	5	5	1	37	14	28	6	25	18	13	17	16
SGTA	429	548	523	2251	2065	2115	301	332	368	1090	1007	1162
SGTB	152	200	158	326	278	272	74	103	63	153	165	194
SH2B1	235	283	258	1228	1234	1087	186	177	190	661	823	888
SH2B2	14	23	20	18	15	16	15	20	12	10	11	15
SH2B3	201	263	199	169	188	174	191	222	207	71	73	90
SH2D1A	0	0	0	3	0	0	1	1	0	0	0	0
SH2D1B	0	0	0	0	1	2	0	0	0	0	0	0
SH2D2A	2	2	7	7	9	11	1	0	0	5	3	6
SH2D3A	8	5	1	18	8	12	7	6	12	8	12	6
SH2D3C	26	36	37	79	57	57	66	90	96	39	37	57
SH2D4A	38	44	60	170	156	132	35	54	41	67	69	102
SH2D4B	1	2	3	7	2	0	0	1	1	0	5	2
SH2D5	3	3	10	6	3	10	8	4	4	3	4	4
SH2D6	0	0	0	5	4	0	1	1	0	1	0	3
SH2D7	0	0	0	0	0	0	0	0	0	0	0	0
SH3BGR	481	527	487	4429	4333	4222	193	186	221	3238	2989	3848
SH3BGRL	370	383	432	2130	2166	1873	216	258	267	1349	1334	1511
SH3BGRL2	130	125	153	519	546	438	100	118	123	312	254	275
SH3BGRL3	176	204	189	648	590	608	266	231	276	275	244	320
SH3BP1	58	80	101	296	294	323	126	137	140	190	175	231
SH3BP2	208	217	225	678	646	657	128	130	149	376	367	417
SH3BP4	1104	1278	1448	2635	2563	2220	964	1169	1076	1288	1315	1370
SH3BP5	178	289	271	742	701	589	133	119	162	365	333	408
SH3BP5-AS1	89	113	71	284	306	198	151	183	199	151	172	248
SH3BP5L	252	310	321	1069	1118	1062	106	144	146	517	552	589
SH3D19	256	350	338	1129	1063	875	99	115	104	539	546	539
SH3D21	59	75	87	213	229	303	86	106	104	178	251	285
SH3GL1	445	469	515	2096	1831	2004	229	205	214	971	781	995
SH3GL1P2	1	1	2	0	0	0	0	2	2	1	4	1
SH3GL2	1	3	1	12	11	7	0	1	0	14	6	4
SH3GL3	218	249	258	1338	1336	1029	150	241	195	663	595	687
SH3GLB1	784	997	930	2968	2960	2483	837	1024	983	1419	1421	1609
SH3GLB2	346	302	340	1911	2040	1750	121	156	154	1046	1079	1233
SH3KBP1	243	285	306	1499	1333	1355	154	185	174	557	603	616
SH3PXD2A	814	1052	1071	3840	4073	3285	510	745	574	1859	2177	2359
SH3PXD2A-AS1	0	0	0	0	0	3	0	0	0	0	0	0
SH3PXD2B	275	373	338	1057	1065	908	263	342	254	481	480	554
SH3RF1	108	178	174	219	236	171	123	135	110	83	90	110
SH3RF2	304	356	363	1610	1641	1692	68	87	104	939	870	1092
SH3RF3	16	19	18	40	47	44	14	19	10	15	20	17
SH3RF3-AS1	0	0	0	1	0	1	0	0	0	0	1	0
SH3TC1	46	47	54	75	92	120	68	85	58	56	46	56
